"","region","year","不识字或识字很少（人）","中专程度（人）","农业机械总动力（万千瓦）","初中程度（人）","大专及大专以上（人）","小学程度（人）","旱地面积占比（%）","水田面积占比（%）","油料播种面积（千公顷）","瓜果类播种面积（千公顷）","蔬菜播种面积（千公顷）","高中程度（人）","露地圆白菜_主产品产量（千克）","露地圆白菜_人工成本（元）","露地圆白菜_土地成本（元）","露地圆白菜_平均出售价格（元）","露地圆白菜_物质与服务费用（元）","露地大白菜_主产品产量（千克）","露地大白菜_人工成本（元）","露地大白菜_土地成本（元）","露地大白菜_平均出售价格（元）","露地大白菜_物质与服务费用（元）","露地茄子_主产品产量（千克）","露地茄子_人工成本（元）","露地茄子_土地成本（元）","露地茄子_平均出售价格（元）","露地茄子_物质与服务费用（元）","露地菜椒_主产品产量（千克）","露地菜椒_人工成本（元）","露地菜椒_土地成本（元）","露地菜椒_平均出售价格（元）","露地菜椒_物质与服务费用（元）","露地菜花_主产品产量（千克）","露地菜花_人工成本（元）","露地菜花_土地成本（元）","露地菜花_平均出售价格（元）","露地菜花_物质与服务费用（元）","露地萝卜_主产品产量（千克）","露地萝卜_人工成本（元）","露地萝卜_土地成本（元）","露地萝卜_平均出售价格（元）","露地萝卜_物质与服务费用（元）","露地西红柿_主产品产量（千克）","露地西红柿_人工成本（元）","露地西红柿_土地成本（元）","露地西红柿_平均出售价格（元）","露地西红柿_物质与服务费用（元）","露地豆角_主产品产量（千克）","露地豆角_人工成本（元）","露地豆角_土地成本（元）","露地豆角_平均出售价格（元）","露地豆角_物质与服务费用（元）","露地马铃薯_主产品产量（千克）","露地马铃薯_人工成本（元）","露地马铃薯_土地成本（元）","露地马铃薯_平均出售价格（元）","露地马铃薯_物质与服务费用（元）","露地黄瓜_主产品产量（千克）","露地黄瓜_人工成本（元）","露地黄瓜_土地成本（元）","露地黄瓜_平均出售价格（元）","露地黄瓜_物质与服务费用（元）","农作物总播种面积（千公顷）","国有农场耕地面积（千公顷）","大豆播种面积（千公顷）","小麦播种面积（千公顷）","玉米播种面积（千公顷）","稻谷播种面积（千公顷）","耕地面积（万公顷）","中籼稻_主产品产量（千克）","中籼稻_人工成本（元）","中籼稻_土地成本（元）","中籼稻_平均出售价格（元）","中籼稻_总成本（元）","中籼稻_物质与服务费用（元）","大豆_主产品产量（千克）","大豆_人工成本（元）","大豆_土地成本（元）","大豆_平均出售价格（元）","大豆_总成本（元）","大豆_物质与服务费用（元）","小麦_主产品产量（千克）","小麦_人工成本（元）","小麦_土地成本（元）","小麦_平均出售价格（元）","小麦_总成本（元）","小麦_物质与服务费用（元）","早籼稻_主产品产量（千克）","早籼稻_人工成本（元）","早籼稻_土地成本（元）","早籼稻_平均出售价格（元）","早籼稻_总成本（元）","早籼稻_物质与服务费用（元）","晚籼稻_主产品产量（千克）","晚籼稻_人工成本（元）","晚籼稻_土地成本（元）","晚籼稻_平均出售价格（元）","晚籼稻_总成本（元）","晚籼稻_物质与服务费用（元）","玉米_主产品产量（千克）","玉米_人工成本（元）","玉米_土地成本（元）","玉米_平均出售价格（元）","玉米_总成本（元）","玉米_物质与服务费用（元）","粳稻_主产品产量（千克）","粳稻_人工成本（元）","粳稻_土地成本（元）","粳稻_平均出售价格（元）","粳稻_总成本（元）","粳稻_物质与服务费用（元）","油菜籽_主产品产量（千克）","油菜籽_人工成本（元）","油菜籽_土地成本（元）","油菜籽_平均出售价格（元）","油菜籽_物质与服务费用（元）","花生_主产品产量（千克）","花生_人工成本（元）","花生_土地成本（元）","花生_平均出售价格（元）","花生_物质与服务费用（元）","柑_主产品产量（千克）","柑_人工成本（元）","柑_土地成本（元）","柑_平均出售价格（元）","柑_物质与服务费用（元）","桔_主产品产量（千克）","桔_人工成本（元）","桔_土地成本（元）","桔_平均出售价格（元）","桔_物质与服务费用（元）","苹果_主产品产量（千克）","苹果_人工成本（元）","苹果_土地成本（元）","苹果_平均出售价格（元）","苹果_物质与服务费用（元）"
"89","Anhui",2000,11.68,1.64,24.1,49.6,0.48,30.04,NA,NA,1457.4,184.2,539.7,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9005.8,34,682.2,2126.4,485.9,2236.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Anhui",2001,11.6,1.57,24.1,51.56,0.41,27.4,NA,NA,1415.4,215.2,564.3,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8733.1,33.8,679.7,1961.2,589.3,1950.1,NA,456.4,NA,NA,49.39,NA,NA,112.8,NA,NA,96.6,NA,NA,NA,NA,NA,NA,NA,NA,387.5,NA,NA,43.81,NA,NA,432.2,NA,NA,47.66,NA,NA,328.3,NA,NA,48.46,NA,NA,441.9,NA,NA,54.31,NA,NA,138.9,NA,NA,87.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Anhui",2002,10.95,1.87,29.7,51.98,0.48,27.42,NA,NA,1453.2,211.4,600.3,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8997.6,33.4,747.4,2056.9,651.4,2044.1,NA,489.2,NA,NA,48.86,NA,NA,132.3,NA,NA,102.26,NA,NA,273.3,NA,NA,47.53,NA,NA,350.2,NA,NA,41.75,NA,NA,408.6,NA,NA,46.38,NA,NA,357.3,NA,NA,47.11,NA,NA,442.4,NA,NA,45.98,NA,NA,111.4,NA,NA,89.04,NA,204.8,NA,NA,110.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Anhui",2003,11.33,1.85,29.4,52.35,0.46,27.06,NA,NA,1412.6,206,654.9,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9124.7,33.1,855.2,2012,627.4,1972.1,NA,344.2,NA,NA,62.1,NA,NA,81.3,NA,NA,140.31,NA,NA,223.6,NA,NA,53.57,NA,NA,360,NA,NA,51.98,NA,NA,364.9,NA,NA,65.7,NA,NA,126,NA,NA,57.54,NA,NA,407.4,NA,NA,68.25,NA,NA,109.3,NA,NA,115.6,NA,111.5,NA,NA,155.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Anhui",2004,12.6,1.55,30,52.35,0.69,25.48,NA,NA,1380.2,185,649.7,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9200.4,33.1,888.1,2059.9,662.3,2129.7,NA,507.4,178.1,176,100,49.45,147.68,129.6,86.42,29.33,151.32,74.26,89.51,343.5,84.6,33.73,70.91,44.11,192.15,362.1,145.53,44.18,70.63,52.78,199.48,471.8,148.41,39.64,75.35,42.61,221.21,405.5,112.34,35.03,58.4,32.85,144.83,456.6,172.92,43.88,79.36,49.49,242.67,132.9,117.21,40.95,134.78,129.69,247.5,150.95,39.32,162.05,170.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Anhui",2005,11.66,2.23,31.6,54.27,0.74,24.17,NA,NA,1303.1,175.5,664.9,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9172.5,33,917,2108.3,670.2,2149.1,NA,466.1,173.84,44.98,71.58,46.09,217.55,103.2,84.09,32.06,132.03,87.42,76.65,319.6,83.69,40.42,63.06,48.42,197.39,358.6,153.63,41.84,68.1,52.37,187.38,425.6,147.16,41.49,73.8,48.81,233.11,306.2,135.26,34.89,59.19,44.9,130.58,410.1,171.58,44.93,80.4,57.56,263.49,136.6,122.06,42.6,108.8,117.33,188.7,208.16,34.25,161.46,186.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Anhui",2006,11.82,2.13,33.4,54.04,0.99,23.47,NA,NA,935.4,175.5,668.6,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8790,33.9,975.3,2307.8,623.2,2207.7,NA,472.4,156.29,47.09,71.84,45.84,236.81,131.2,117.55,25.65,120.73,79.96,83.29,368.4,86.72,34.43,70.4,44.33,215.24,368.9,140.01,42.69,69.33,54.46,225.12,440.2,148.83,41.13,73.58,50.6,262.23,383.5,138.68,40.14,68.33,37.48,130.64,451.3,193.89,53.76,76.82,60.31,300.67,127.5,135.64,40.96,113.02,131.93,214.1,229.42,29.54,185.55,205.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Anhui",2007,11.54,2.17,34.1,54.22,1.21,22.63,50.5,46.2,864.3,174.6,732.7,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8853.9,34,938,2330.3,710.4,2205.2,NA,484,172.3,56.15,82.55,48.7,251.7,121.3,106.22,32.69,189.57,90.33,87.7,396.2,102.49,41.28,71.27,44.96,226.2,374.4,176.99,37.84,69.51,62.58,254.39,452.6,170.71,52.03,83.06,58.83,322.27,363.4,151.39,41.52,81.01,45.61,157.15,457.4,190.34,52.98,85.82,62.76,336.48,152.5,141.09,40.67,174.9,133.86,230,239.36,41.3,287.05,228.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Anhui",2008,10.8,2.4,36.3,54.1,1.6,22.1,50.5,46.2,936.7,166.5,718.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8976.6,34.4,988.4,2346.7,705.1,2218.9,NA,505,192.69,101.15,92.25,59.99,322.28,138.5,110.36,50.03,186.45,100.73,129.79,426.9,96.7,74.92,76.36,48.83,260.8,356.7,171.01,72.75,86.89,80.4,335.14,469,164.5,83.5,89.41,67.06,400.13,409.5,175.39,70.44,68.92,50.41,189.5,465.2,205.42,93.58,87.37,77.5,435.44,155.2,176.72,52.55,256.03,165.77,198.5,254.45,55.85,209.77,280.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Anhui",2009,10.6,2.3,43.5,54.9,1.7,21.2,50.5,46.2,968.8,160.6,745.3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9036.2,34.5,970,2355.3,730.7,2246.9,NA,493.82,208.38,113.84,94.4,64.48,323.93,134.54,121.52,77.06,168.78,109.73,109.95,409.48,118.42,91.49,86.57,62.32,315.31,428.15,172.93,79.4,91.38,69.32,345.47,484.55,182.5,101.96,92.04,65.9,366.38,437.09,180.82,81.52,88.29,46.91,164.86,477.83,194.01,106.99,95.13,70.15,380.54,162.63,187.84,83.98,174.27,182.88,229.98,290.63,100.57,254.57,246.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Anhui",2010,9.4,2.4,45.5,54.7,2.4,21.2,50.5,46.2,944.3,165.7,774.2,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9053.4,34.7,938.9,2365.7,761.1,2245.4,NA,480.02,249.49,137.82,102.69,74.88,344.39,128.5,141.69,96.5,198.97,138.11,131.82,409.32,125.98,100.16,93.71,63.49,298.15,384.13,202.7,83.2,96.55,80.69,338.48,472.09,208.99,125.89,111.79,76.97,401.66,433.07,215.75,105.71,92.65,56.23,185.92,454.64,231.41,134.09,121.86,83.37,401.49,122.08,227.86,95.59,202.04,174.73,182.14,339.17,103.99,277.71,241.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Anhui",2011,9.2,1.7,47,55,2,24.8,50.5,46.2,878.3,171.1,789,7.3,3894.02,391.85,217.49,18.82,620.08,5873.62,468.2,199.24,10.06,605.14,5813.47,1183.28,246.88,46.36,1035.23,3207.81,1377.65,160.04,61.93,840.25,2465.54,608.77,157.71,41.57,656.56,3797.65,535.39,227.15,43.65,1276.59,5340.96,1591.47,244.82,89.6,1129.71,2065.06,873,145.04,130.76,608.89,2186.01,548.21,206.95,82.67,1323.19,4753.72,1321.16,249.32,60.84,1787.93,9022.9,34.5,885.9,2383,818.8,2230.8,NA,525.08,281.52,154.82,127.29,79.27,406.69,134.49,138.36,126.84,201.03,145.27,134.73,375.38,165.68,126.07,97.86,83,339.03,395.08,234.3,109.41,111.33,92.82,395.17,505.51,293.41,123.86,132.12,83.49,434.8,436.73,250.68,110.99,103.64,65.08,220.82,532.36,272.37,146.06,132.22,79.83,441.44,102.26,256.5,95.16,228.57,193.69,199.2,415.84,130.58,326.91,349.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Anhui",2012,8.6,1.8,46,55.3,2.5,24.3,50.5,46.2,843.6,172.6,810.6,7.6,4758.24,531.4,216.61,28.27,663.74,6368.06,737.55,245.28,14.81,553.01,3190.05,1589.11,255.83,45.31,922.57,3196.62,1939.25,236.14,82.63,911.07,2909.08,848.31,220,41.52,599.92,4484.92,595.1,258.6,27.75,600.22,5038.48,2209.38,274.43,92.57,1079.05,1632.87,1263.81,248.73,101.44,722.01,2262.19,743.09,225.24,74.65,972.92,4717.37,1890.22,258.87,42.55,1563.71,8969.6,29.4,876.7,2415.5,822.5,2215.1,NA,519.88,353.82,157.03,127.94,90.68,441.45,150.38,186.87,146.92,243.6,162.89,163.02,395.19,181.71,138.83,104.43,85.16,362.41,437.65,348.9,138.8,126.79,103.23,417.08,514.29,399.58,147.07,129.34,97.33,462.98,474.53,368.82,124.89,106.46,78.98,267.64,498.85,420.7,172.19,136.15,103.83,448.48,151.79,367.4,116.93,237,221.29,241.27,568.57,164.65,347.82,408.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Anhui",2013,NA,NA,48.2,NA,NA,NA,50.5,46.2,802,176.5,836,NA,3792.09,964.06,238.83,66.92,760.7,5962.14,883.04,282.21,20.42,577.71,3349.46,1926.24,262.02,109.67,1022.9,2682.84,2205.78,277.28,116.43,940.56,2350.9,892.37,234.29,84.01,682.61,4283.78,843.78,333.72,71.64,767.85,4526.22,2730.25,281.57,138.25,1129.54,1776.32,1479.73,280,136.26,838.1,2205.41,832.66,285.67,93.45,1012.16,4570.03,2294.25,265.83,86.64,1300.87,8945.6,29.8,856.7,2432.9,845.1,2214.1,588.3,483.78,407.06,181.54,128.23,104.64,435.88,127.26,225.83,164.24,249.77,215.39,164.11,387.44,207.02,165.01,112.93,96.27,382.96,432,402.05,147.3,127.39,114.9,446.98,488.68,460.59,180.01,132.61,113.43,475.14,416.51,357.34,151.95,105.77,93.05,284.55,487.22,457.53,184.99,141.12,110.91,447.23,167.18,429.96,119.01,248.19,217.66,214.02,640.9,165.05,277.2,378.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Anhui",2014,NA,NA,43.7,NA,NA,NA,46.8,49.1,788.4,181.2,862.1,NA,4108.11,1191.21,246.31,28.7,677.45,5922.86,867.66,294.22,19.2,526.48,3515.86,2156.41,267.94,76.85,995.71,2915.94,2438.73,279.87,55.52,966.61,2338.61,1116.67,253.16,29,587.2,4174.65,1042.51,361.95,198.43,2121.16,4506.04,3258.89,291.29,113.28,1096.21,1801.31,1375.31,272.53,123.32,818.63,2230.05,1072.59,321.87,76.34,1047.7,4448.67,2471.05,271.76,79.19,1095.17,8945.5,30.1,851.6,2434.5,852.4,2217.3,NA,486.56,415.98,198.91,131.5,107.19,435.3,114.72,272.69,203.88,237.28,277.83,169.65,466.83,234.28,179.79,114.84,85.11,389.83,452.59,406.11,179.08,129.21,113.2,446.24,523.81,486.56,195.85,134.37,110.81,480.37,484.57,386.85,164.58,105.17,85.95,299.35,492,459.82,194.15,145.56,109.5,430.15,150.3,411.56,140.71,246.03,218.38,224.78,624.93,169.71,286.1,344.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Anhui",2015,NA,NA,45.4,NA,NA,NA,46.9,49,772.1,191.6,899.8,NA,4470.73,1038.26,250.04,42.37,733.17,5752.98,1004,309.55,19.28,526.88,3270.25,2298.35,270.54,47.19,937.78,3117.96,2477.86,297.23,73.84,964.98,2009.43,909.3,265.36,29.83,556.56,2808.61,1364.92,600.39,65.72,1971.18,4458.67,3356.75,290.17,132.11,1064.95,1736.33,1502.61,312.03,146.51,883.19,2325.54,1184.25,337.32,92.53,1081.25,4597.68,2543.58,275.74,97.61,1009.3,8950.5,29.6,820.9,2457,881.6,2234.9,587.29,555.8,418.71,225.19,128.13,97.24,452.26,151.53,232.42,208.36,204.59,201.48,183.38,426.24,229.87,206.97,110.18,95.64,394.26,429.62,403.73,196.78,130.3,121.2,454.73,535.38,445.6,195.28,122.44,105.54,503.14,500.7,349.05,201.73,82.64,85.57,324.05,515.93,459.84,214.1,139.41,107.46,450.64,167.01,398.86,181.83,196.31,231.33,209.14,652.94,220.05,296.54,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Anhui",2016,NA,NA,46.5,NA,NA,NA,47,49,542.7,74.1,610.9,NA,4491.53,1057.9278,247.02,52.35,647.81,5494.38,1033.1458,302.75,30.35,538.06,3356.45,2342.5292,270.54,58.38,949.42,2446.57,2143.4364,292.97,57.22,877.06,1735.55,904.4176,272.78,101.73,559.26,3340.21,773.4014,658.46,164.77,1979.89,4905.3,3478.058,285.66,126.86,1174.98,1569.48,1519.5366,255.87,125.57,809.4,2353.3,1258.0792,327.6,83.75,1029.34,4603.23,2655.7564,275.74,91.04,1017.85,8790.1,30.2,599.5,2887.6,1203.3,2537.4,586.75,518.76,398.9024,229.77,126.73,102.71,452.93,126.77,242.641,223.17,193.85,245.52,178.49,407.8,235.354,220.45,103.62,104.5,418.41,405.57,340.622,200.51,122.92,125.08,487.1,543.34,482.9814,228.86,128.9,113.11,535.74,487.55,308.8316,218.56,76.74,84.66,321.43,487.39,418.9632,225.19,140.61,111.9,462.56,146.72,418.5758,175.23,202.59,243.47,247.2,566.8696,321.97,294.06,441.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Anhui",2017,NA,NA,46.6,NA,NA,NA,47,48.9,518.3,74.9,628.2,NA,4481.48,1038.7793,251.5,38.2,644.87,5628.56,1084.2728,314.62,18.2,523.88,3341.66,2299.0446,280.13,60.91,912,2768.29,2018.2739,310.93,71.18,868.21,1841.37,964.6449,295.64,70.51,579.04,3065.81,1074.4341,662.96,122.04,1277.59,4983.43,3496.1543,291.58,113.13,1182.49,1728.61,1278.4502,242.67,161.92,820.11,2318.04,1280.5838,352.13,70.61,1083.95,4778.72,2751.6072,285.04,90.63,1000.4,8726.7,30.2,620.5,2822.8,1160.1,2605.1,586.68,495.38,369.8662,236.51,126.5,109.25,491.35,124.67,252.8005,226.73,199.67,256.53,178.92,447.6,224.0363,221.29,112.24,94.28,417.16,448.07,344.4207,235.59,127.53,113.64,452.99,497.68,449.0092,212.12,130.43,124.28,595.83,459.29,296.0611,221.24,77.01,88.98,325.58,485.07,350.4543,231.54,136.75,110.88,510.62,156.45,405.2653,179.41,240.64,259.87,285.89,533.2357,359.56,269.99,407.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Anhui",2018,NA,NA,43.8,NA,NA,NA,NA,NA,520.2,80,652.2,NA,4520.38,998.88,251.01,47.27,656.22,5504.1,1168.94,277.81,20.97,566.64,3607.54,2400.69,287.69,64.92,958.75,2818.46,1690.08,291.61,77.65,823.09,1650.26,1184.81,259.16,36.91,552.04,4504.16,1060.85,506.52,90.69,989.33,5184.62,3445.85,299.53,128.02,1184.04,1996.8,1298.55,288.67,140.91,846.46,2441.61,1239.79,351.72,79.57,1143.51,5106.26,2833.54,292.49,99.84,1013.21,8771.1,30.2,649.9,2875.9,1138.6,2544.8,NA,541.52,349.7,229.5,117.82,98.36,502.21,107.18,253.31,227.74,188.05,296.97,178.68,338.24,206.83,217.44,103.28,123.76,437.14,463.71,295.01,221.17,114.81,103.75,461.1,527.14,406.74,206.33,118.24,110.53,569.64,379.41,261.59,225.17,87.35,105.96,340.3,503.54,318.66,233.76,123.64,101.63,488.39,152.87,417.55,176.13,247.06,273.11,266.33,444.97,303.79,236.98,418.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Anhui",2019,NA,NA,47.3,NA,NA,NA,47.3,48.6,528.2,90.2,682.7,NA,4452.14,1082.07,276.97,46.31,637.06,5371.55,1195.44,271.42,27.28,601.2,4061.28,2065.86,272.36,81.75,864.37,2950.28,1801.32,332.45,76.21,1138.79,1719.29,1170.42,326.61,44.97,521.57,4028.61,1055.39,495.79,93.32,938.84,4542.93,3308.44,306.07,126.77,1001.04,2000.69,1460.81,314.56,167.26,832.32,2541.37,1268.78,350.11,78.44,1135.3,4984.52,2883.11,305.46,92.35,1016.27,8782,29.6,636.2,2835.6,1196.5,2509,554.69,552.89,327.19,221.73,119.29,93.28,498.32,123.44,256.8,236.15,202.53,264.83,180.01,483.44,206.29,221.87,109.49,89.9,459.74,439.62,279.26,195.2,112.91,103.73,449.91,560.23,352.55,213.67,115.69,101.39,584.98,508.99,233.89,235.69,84.61,79.14,357.64,520.13,309.52,212.86,123.41,97.54,508.58,168.13,414.23,177.17,246.34,283.98,292.37,440.92,304,312.11,468.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Anhui",2020,NA,NA,48.8,NA,NA,NA,NA,NA,521.4,95.4,718,NA,3837.31,1328.59,270.9,85.22,618.98,5014.3,907.98,335.58,33.67,600.53,3505.38,2122.79,283.4,84.48,805.59,3211.13,1842.5,356.68,88.58,1655.45,2004.6,1182.31,331.12,91.03,528.18,3961.55,1277.2,505.65,126.61,1224.81,4469.62,3304.61,319.71,122.08,929.49,2153.73,1480.16,345.35,168.51,775.82,2570.53,1181.37,376.48,81.28,1112.42,4785.62,2935.48,318.62,99.08,1012.97,8818,29.3,605.1,2825.2,1234.8,2512.1,NA,525.23,297.78,219.05,123.86,95.78,503.64,135.53,210.63,263.35,270.65,238.23,186.78,417.35,182.9,231.07,112.87,103.28,468.82,350.57,262.6,191.55,111.28,137.79,521.08,502.44,312.59,215.89,130.82,109.83,587.34,394.11,215.15,242.25,112.86,100.73,356.6,517.05,263.82,203.61,134.24,95.14,528.74,164.3,428.73,175.16,249.27,283.08,285.78,415.71,288.44,330.8,488.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Anhui",2021,NA,NA,48.4,NA,NA,NA,NA,NA,542.2,97.8,749.4,NA,3593.79,1441.45,267.41,88.75,730.25,3950.64,1133.71,312.11,70.02,730.01,3494.97,2203.3,282.08,83.88,833.88,2717.08,1935.68,360.17,113.67,1764.94,1578.68,1227.67,356.89,181.74,579.46,2981.24,1124.54,433.02,156.7,1306.25,4206.49,3308.04,329.36,139.21,997.08,2255.95,1636.8,458.22,173.98,941.44,2697.35,1189.17,401.49,69.22,1190.54,3939.52,2985.53,335.71,140.5,1026.27,8886.8,30.1,587.2,2846,1252.7,2512.2,NA,562.06,269.92,221.64,125.43,90.14,535.04,142.91,209.17,269.43,303.92,233.81,207.42,470.62,186.94,236.11,122.89,93.25,472.08,413.39,252.29,197.9,124.98,111.8,481.17,480.99,278.4,215.3,127.7,119.44,668.11,392.99,250.22,247.26,123.18,109.8,384.68,540.14,261.66,209.54,130.12,94.29,560.96,162.8,414.65,175.11,271.54,299.7,307.9,441.27,276.02,333.11,494.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Shandong",2000,5.36,2.62,3.9,52.61,0.66,25.98,NA,NA,956.9,267.9,1788.4,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11147.3,12,458.2,3748.2,2413.9,176.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
